timestamp,open,high,low,close,volume,returns
2025-12-04 02:00:00,35.828,36.219,35.686,35.964,633717.29,0.0037959138104275425
2025-12-04 03:00:00,35.962,36.078,35.32,35.607,319073.32,-0.00992659325992662
2025-12-04 04:00:00,35.607,35.607,35.004,35.399,457680.69,-0.00584154801022263
2025-12-04 05:00:00,35.4,35.424,34.807,34.869,228632.15,-0.014972174355207812
2025-12-04 06:00:00,34.876,35.169,34.865,35.013,104181.84,0.004129742751441068
2025-12-04 07:00:00,35.013,35.269,34.7,35.252,143018.14,0.0068260360437553125
2025-12-04 08:00:00,35.25,35.412,34.841,34.858,184620.2,-0.011176670827187318
2025-12-04 09:00:00,34.858,35.093,34.846,34.904,64229.09,0.00131963968099158
2025-12-04 10:00:00,34.905,35.031,34.766,34.774,110959.39,-0.0037245014898006357
2025-12-04 11:00:00,34.774,35.0,34.586,34.768,282726.22,-0.00017254270431932284
2025-12-04 12:00:00,34.768,34.814,34.332,34.468,175600.96,-0.008628624022089193
2025-12-04 13:00:00,34.468,34.56,34.277,34.416,154687.92,-0.0015086457003599119
2025-12-04 14:00:00,34.413,34.716,34.06,34.134,325333.87,-0.008193863319386208
2025-12-04 15:00:00,34.124,34.995,34.124,34.587,313389.54,0.01327122517138335
2025-12-04 16:00:00,34.587,34.954,34.316,34.582,300657.98,-0.0001445629860931108
2025-12-04 17:00:00,34.582,34.632,34.001,34.34,409727.9,-0.00699786015846382
2025-12-04 18:00:00,34.339,34.405,33.802,33.833,361523.62,-0.014764123471170842
2025-12-04 19:00:00,33.836,33.898,33.213,33.492,937225.67,-0.010078917033665369
2025-12-04 20:00:00,33.492,33.702,33.249,33.564,226571.83,0.002149767108563294
2025-12-04 21:00:00,33.552,33.717,33.069,33.197,385865.67,-0.010934334405910962
2025-12-04 22:00:00,33.197,33.573,33.188,33.519,186617.09,0.009699671657077413
2025-12-04 23:00:00,33.52,33.617,33.38,33.537,100076.15,0.0005370088606462264
2025-12-05 00:00:00,33.537,33.589,33.318,33.383,90595.53,-0.00459194322688361
2025-12-05 01:00:00,33.374,33.775,33.275,33.716,205254.63,0.009975137045801663
2025-12-05 02:00:00,33.713,33.932,33.648,33.769,279430.2,0.0015719539684422301
2025-12-05 03:00:00,33.77,33.787,33.446,33.68,214741.46,-0.0026355533181319224
2025-12-05 04:00:00,33.694,33.837,33.329,33.434,122647.56,-0.007304038004750657
2025-12-05 05:00:00,33.431,33.532,33.399,33.532,40835.7,0.0029311479332416734
2025-12-05 06:00:00,33.532,33.641,33.306,33.381,116072.11,-0.004503161159489344
2025-12-05 07:00:00,33.38,33.574,33.175,33.211,162846.52,-0.0050927174140978915
2025-12-05 08:00:00,33.21,33.292,32.656,32.724,848036.9,-0.01466381620547419
2025-12-05 09:00:00,32.724,32.765,32.099,32.145,986702.63,-0.017693436010267516
2025-12-05 10:00:00,32.143,32.518,32.122,32.273,479331.6,0.003981956758438265
2025-12-05 11:00:00,32.277,32.312,31.82,31.922,459675.48,-0.01087596442846972
2025-12-05 12:00:00,31.924,32.067,31.766,31.906,434447.35,-0.0005012217279619646
